Protein,True_Label,Predicted_Label,Confidence,Index,is_negative_control
AXH81214,1.A.102,1.A.102,0.009662466108657378,1,False
NCD33588,1.A.104,1.A.104,0.006446848949594711,5,False
XP_022087427,1.A.105,8.A.104,0.012216834764822285,10,True
Q9UM00,1.A.106,1.A.106,0.015547849820307564,11,False
U6KQS3,1.A.106,1.A.106,0.01615553116204934,17,False
Q54TU8,1.A.106,1.A.106,0.01514564895753817,20,False
Q8ID84,1.A.106,1.A.106,0.016169059109329146,21,False
P02144,1.A.107,8.A.104,0.008456489750562207,29,False
Q92915,1.A.108,1.A.108,0.00786358080183277,34,False
P01584,1.A.109,1.A.109,0.011828939095858719,36,False
Q7RTS5,1.A.110,1.A.110,0.011737004561304104,40,False
R4GK65,1.A.110,1.A.110,0.011328604219313806,46,False
M2XT73,1.A.111,8.A.104,0.00909899981529296,52,False
I7MFJ4,1.A.111,1.A.111,0.011849637752800592,53,False
Q9H813,1.A.114,1.A.114,0.006350160767492987,56,False
Q7SY31,1.A.114,1.A.114,0.006239791330531857,57,False
P40471,1.A.115,1.A.115,0.00776392737031664,62,False
AIP91276,1.A.116,1.A.116,0.006332041301817287,71,True
AGA19094,1.A.116,1.A.116,0.006355868677831872,73,True
AVM87576,1.A.117,8.A.104,0.011550955899782523,74,True
QII89021,1.A.117,1.A.117,0.007355507626268833,79,True
VDO82503,1.A.119,1.A.119,0.011076158441715193,84,False
VDN13025,1.A.119,1.A.119,0.011105286826685939,85,False
KAF5842206,1.A.119,1.A.119,0.011225891916180411,88,False
P35526,1.A.12,1.A.12,0.011202535831575771,92,False
P0ACA3,1.A.12,1.A.12,0.010834344508116068,101,False
B7LBF5,1.A.12,8.A.104,0.008959405508489407,102,False
KXZ49351,1.A.121,1.A.121,0.008032506345783539,107,False
KAF2073363,1.A.121,1.A.121,0.011048194990251073,111,False
P19258,1.A.126,1.A.126,0.011503478231062084,117,False
XP_002288780,1.A.126,1.A.126,0.010783469699159115,120,False
CAD7625038,1.A.126,1.A.126,0.01170914349627872,123,False
AAT52337,1.A.127,8.A.104,0.009326588381219098,125,False
YP_009725255,1.A.128,1.A.128,0.012201064459309172,127,False
P30405,1.A.129,1.A.129,0.0118628666895867,128,False
A8K7I4,1.A.13,1.A.13,0.011766702929311817,134,False
XP_040533254,1.A.13,1.A.13,0.011012227503866162,137,False
A9WIT9,1.A.13,8.A.104,0.012195198372017692,143,False
E7RS17,1.A.13,1.A.13,0.01284485817276987,145,False
P39719,1.A.131,1.A.131,0.008513584796649066,149,False
EGY18472,1.A.131,1.A.131,0.009475627613113302,153,False
P99999,1.A.132,1.A.132,0.007581337049420215,156,True
P07868,1.A.134,1.A.134,0.006314152598283547,159,False
Q03105,1.A.137,1.A.137,0.009322167946545352,165,False
Q4CP61,1.A.138,1.A.138,0.0062869749237106495,166,True
KAJ9456123,1.A.138,1.A.138,0.008376443443497947,167,True
XP_035278978,1.A.139,1.A.139,0.006784489501126702,175,False
CAC5415462,1.A.140,1.A.140,0.006093892770982646,181,False
KNC21563,1.A.140,1.A.140,0.006280788531582927,182,False
MBN1876475,1.A.141,1.A.141,0.017915815215681426,190,False
QCR16160,1.A.141,8.A.104,0.009001632042837002,194,False
AXG08322,1.A.141,1.A.141,0.019292031921852953,195,False
WBK62635,1.A.143,1.A.143,0.008257370251820472,197,False
