Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,is_negative_control
AFH41240,1.A.102.1,1.C.111.1,0.0008873203222486026,3,False
WP_189658242,1.A.104.1,1.C.111.1,0.0008873203222486026,7,False
XP_022087427,1.A.105.1,1.C.111.1,0.0008873203222486026,10,False
C4LY15,1.A.106.1,1.C.111.1,0.0008873203222486026,19,False
Q54TU8,1.A.106.1,1.C.111.1,0.0008873203222486026,20,False
Q8ID84,1.A.106.1,1.C.111.1,0.0008873203222486026,21,False
D3RXV6,1.A.106.2,1.C.111.1,0.0008873203222486026,26,False
Q8WWM9,1.A.107.1,1.C.111.1,0.0008873203222486026,31,False
Q92915,1.A.108.1,1.C.111.1,0.0008873203222486026,34,False
P01584,1.A.109.1,1.C.111.1,0.0008873203222486026,36,False
A9JTM7,1.A.110.1,1.C.111.1,0.0008873203222486026,45,False
R4GK65,1.A.110.1,1.C.111.1,0.0008873203222486026,46,False
Q4U8M1,1.A.111.1,1.C.111.1,0.0008873203222486026,54,False
Q8IDG4,1.A.111.1,1.C.111.1,0.0008873203222486026,55,False
XP_007903208,1.A.114.1,1.C.111.1,0.0008873203222486026,60,False
H3CYV8,1.A.114.1,1.C.111.1,0.0008873203222486026,61,False
WP_062382148,1.A.115.1,1.C.111.1,0.0008873203222486026,66,False
Q91DM1,1.A.116.1,1.C.111.1,0.0008873203222486026,72,False
AGA19094,1.A.116.1,1.C.111.1,0.0008873203222486026,73,False
QII89021,1.A.117.1,1.C.111.1,0.0008873203222486026,79,False
Q9J3N8,1.A.117.1,1.C.111.1,0.0008873203222486026,80,False
PRW60447,1.A.119.1,1.C.111.1,0.0008873203222486026,89,False
RYG54403,1.A.119.1,1.C.111.1,0.0008873203222486026,90,False
XP_005851849,1.A.119.1,1.C.111.1,0.0008873203222486026,91,False
Q9Y696,1.A.12.1,1.C.111.1,0.0008873203222486026,97,False
O95833,1.A.12.1,1.C.111.1,0.0008873203222486026,98,False
Q8F2Y8,1.A.12.2,1.C.111.1,0.0008873203222486026,100,False
B7LBF5,1.A.12.3,1.C.111.1,0.0008873203222486026,102,False
KAF2073363,1.A.121.1,1.C.111.1,0.0008873203222486026,111,False
KNE65670,1.A.121.1,1.C.111.1,0.0008873203222486026,112,False
XP_005847969,1.A.126.1,1.C.111.1,0.0008873203222486026,121,False
OLP87777,1.A.126.1,1.C.111.1,0.0008873203222486026,122,False
CAD7625038,1.A.126.1,1.C.111.1,0.0008873203222486026,123,False
Q3LZX6,1.A.127.1,1.C.111.1,0.0008873203222486026,126,False
YP_009725255,1.A.128.1,1.C.111.1,0.0008873203222486026,127,False
P30405,1.A.129.1,1.C.111.1,0.0008873203222486026,128,False
XP_040533254,1.A.13.1,1.C.111.1,0.0008873203222486026,137,False
Q9UQC9,1.A.13.1,1.C.111.1,0.0008873203222486026,138,False
VIP05124,1.A.13.2,1.C.111.1,0.0008873203222486026,142,False
A9WIT9,1.A.13.3,1.C.111.1,0.0008873203222486026,143,False
B3QY78,1.A.13.4,1.C.111.1,0.0008873203222486026,146,False
KAI2464759,1.A.131.1,1.C.111.1,0.0008873203222486026,154,False
KKY14299,1.A.131.1,1.C.111.1,0.0008873203222486026,155,False
RCL04097,1.A.132.1,1.C.111.1,0.0008873203222486026,158,False
P31845,1.A.134.1,1.C.111.1,0.0008873203222486026,163,False
Q03105,1.A.137.1,1.C.111.1,0.0008873203222486026,165,False
XP_001687221,1.A.138.1,1.C.111.1,0.0008873203222486026,170,False
KAJ9467172,1.A.138.2,1.C.111.1,0.0008873203222486026,171,False
XP_025967337,1.A.139.1,1.C.111.1,0.0008873203222486026,176,False
CAC5415462,1.A.140.1,1.C.111.1,0.0008873203222486026,181,False
KNC21563,1.A.140.1,1.C.111.1,0.0008873203222486026,182,False
WP_159458826,1.A.141.1,1.C.111.1,0.0008873203222486026,191,False
WP_342171699,1.A.141.1,1.C.111.1,0.0008873203222486026,192,False
WP_248910494,1.A.141.2,1.C.111.1,0.0008873203222486026,196,False
NP_044070,1.A.143.1,1.C.111.1,0.0008873203222486026,199,False
YP_009448007,1.A.144.1,1.C.111.1,0.0008873203222486026,203,False
YP_784320,1.A.145.1,1.C.111.1,0.0008873203222486026,206,False
VVB63523,1.A.147.1,1.C.111.1,0.0008873203222486026,215,False
NVM01300,1.A.147.1,1.C.111.1,0.0008873203222486026,216,False
BBF24341,1.A.149.1,1.C.111.1,0.0008873203222486026,218,False
E1Z497,1.A.15.1,1.C.111.1,0.0008873203222486026,223,False
Q99442,1.A.15.1,1.C.111.1,0.0008873203222486026,224,False
M1V6H9,1.A.18.1,1.C.111.1,0.0008873203222486026,226,False
M9YRP5,1.A.19.1,1.C.111.1,0.0008873203222486026,230,False
YP_009165879,1.A.19.2,1.C.111.1,0.0008873203222486026,231,False
XP_011598515,1.A.20.1,1.C.111.1,0.0008873203222486026,234,False
E5S402,1.A.20.2,1.C.111.1,0.0008873203222486026,236,False
XP_028455685,1.A.21.1,1.C.111.1,0.0008873203222486026,247,False
P41958,1.A.21.1,1.C.111.1,0.0008873203222486026,248,False
QSG71260,1.A.21.1,1.C.111.1,0.0008873203222486026,249,False
XP_032502729,1.A.21.2,1.C.111.1,0.0008873203222486026,254,False
R7QNM6,1.A.22.1,1.C.111.1,0.0008873203222486026,266,False
AUF82136,1.A.22.1,1.C.111.1,0.0008873203222486026,267,False
YP_003969926,1.A.22.1,1.C.111.1,0.0008873203222486026,268,False
A2C579,1.A.26.1,1.C.111.1,0.0008873203222486026,274,False
Q8EAE0,1.A.26.1,1.C.111.1,0.0008873203222486026,275,False
O44196,1.A.26.2,1.C.111.1,0.0008873203222486026,279,False
L9YYI5,1.A.26.3,1.C.111.1,0.0008873203222486026,280,False
Q93PJ3,1.A.29.1,1.C.111.1,0.0008873203222486026,285,False
Q814I5,1.A.29.1,1.C.111.1,0.0008873203222486026,286,False
A4JYY8,1.A.32.1,1.C.111.1,0.0008873203222486026,289,False
P11021,1.A.33.1,1.C.111.1,0.0008873203222486026,294,False
P36016,1.A.33.1,1.C.111.1,0.0008873203222486026,295,False
Q5YNG4,1.A.33.2,1.C.111.1,0.0008873203222486026,298,False
Q91892,1.A.36.1,1.C.111.1,0.0008873203222486026,303,False
J0DPD5,1.A.36.2,1.C.111.1,0.0008873203222486026,305,False
XP_027868562,1.A.37.1,1.C.111.1,0.0008873203222486026,307,False
Q96PG2,1.A.37.2,1.C.111.1,0.0008873203222486026,308,False
XP_018964003,1.A.37.3,1.C.111.1,0.0008873203222486026,311,False
XP_031566461,1.A.37.4,1.C.111.1,0.0008873203222486026,313,False
E1BKV5,1.A.37.5,1.C.111.1,0.0008873203222486026,314,False
J9P7D8,1.A.37.6,1.C.111.1,0.0008873203222486026,315,False
A6NML5,1.A.37.7,1.C.111.1,0.0008873203222486026,316,False
C3ZEE2,1.A.37.8,1.C.111.1,0.0008873203222486026,320,False
A2XX57,1.A.38.1,1.C.111.1,0.0008873203222486026,323,False
E9AL43,1.A.38.2,1.C.111.1,0.0008873203222486026,324,False
Q7RQA4,1.A.38.3,1.C.111.1,0.0008873203222486026,325,False
I6T2J8,1.A.39.1,1.C.111.1,0.0008873203222486026,328,False
AJP61612,1.A.40.1,1.C.111.1,0.0008873203222486026,330,False
Q6Y8U3,1.A.40.2,1.C.111.1,0.0008873203222486026,334,False
Q69C27,1.A.41.1,1.C.111.1,0.0008873203222486026,338,False
PIN02799,1.A.41.2,1.C.111.1,0.0008873203222486026,343,False
R0EUA4,1.A.41.2,1.C.111.1,0.0008873203222486026,344,False
ADO34202,1.A.42.1,1.C.111.1,0.0008873203222486026,349,False
Q7Y5E2,1.A.44.1,1.C.111.1,0.0008873203222486026,350,False
Q8NFU0,1.A.46.1,1.C.111.1,0.0008873203222486026,357,False
Q8N1M1,1.A.46.1,1.C.111.1,0.0008873203222486026,358,False
M2Y919,1.A.46.2,1.C.111.1,0.0008873203222486026,368,False
D8UGV3,1.A.46.2,1.C.111.1,0.0008873203222486026,369,False
GAQ79686,1.A.46.2,1.C.111.1,0.0008873203222486026,370,False
P54105,1.A.47.1,1.C.111.1,0.0008873203222486026,371,False
O13777,1.A.47.2,1.C.111.1,0.0008873203222486026,372,False
Q8IDZ0,1.A.47.3,1.C.111.1,0.0008873203222486026,373,False
Q9LVA7,1.A.47.4,1.C.111.1,0.0008873203222486026,374,False
Q9W5A5,1.A.48.1,1.C.111.1,0.0008873203222486026,379,False
KRX54150,1.A.48.1,1.C.111.1,0.0008873203222486026,380,False
KAF1786581,1.A.48.2,1.C.111.1,0.0008873203222486026,382,False
YP_009113027,1.A.49.1,1.C.111.1,0.0008873203222486026,385,False
Q93533,1.A.55.1,1.C.111.1,0.0008873203222486026,388,False
F2UA94,1.A.55.2,1.C.111.1,0.0008873203222486026,390,False
Q5DFV8,1.A.55.3,1.C.111.1,0.0008873203222486026,391,False
D8LWX8,1.A.55.4,1.C.111.1,0.0008873203222486026,394,False
D8LKG3,1.A.55.5,1.C.111.1,0.0008873203222486026,395,False
Q54CR4,1.A.55.6,1.C.111.1,0.0008873203222486026,397,False
P0DTC3,1.A.57.1,1.C.111.1,0.0008873203222486026,402,False
AVM87627,1.A.58.1,1.C.111.1,0.0008873203222486026,406,False
R9RZY4,1.A.59.1,1.C.111.1,0.0008873203222486026,409,False
P12870,1.A.61.1,1.C.111.1,0.0008873203222486026,411,False
