Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
AFH41240,1.A.102.1,1.A.102.1,0.9997969,3,1.A.102,1.A.102
WP_189658242,1.A.104.1,1.A.104.1,0.99984646,7,1.A.104,1.A.104
XP_022087427,1.A.105.1,1.A.105.1,0.9999219,10,1.A.105,1.A.105
C4LY15,1.A.106.1,1.A.106.1,0.5045803,19,1.A.106,1.A.106
Q54TU8,1.A.106.1,1.A.106.1,0.79487896,20,1.A.106,1.A.106
Q8ID84,1.A.106.1,1.A.106.1,0.72788656,21,1.A.106,1.A.106
D3RXV6,1.A.106.2,1.A.106.2,0.9271635,26,1.A.106,1.A.106
Q8WWM9,1.A.107.1,1.A.107.1,0.9997526,31,1.A.107,1.A.107
Q92915,1.A.108.1,1.A.108.1,0.99986684,34,1.A.108,1.A.108
P01584,1.A.109.1,1.A.109.1,0.9999924,36,1.A.109,1.A.109
A9JTM7,1.A.110.1,1.A.110.1,0.99984896,45,1.A.110,1.A.110
R4GK65,1.A.110.1,1.A.110.1,0.9996762,46,1.A.110,1.A.110
Q4U8M1,1.A.111.1,1.A.111.1,0.9999361,54,1.A.111,1.A.111
Q8IDG4,1.A.111.1,1.A.111.1,0.99993944,55,1.A.111,1.A.111
XP_007903208,1.A.114.1,1.A.114.1,0.9999275,60,1.A.114,1.A.114
H3CYV8,1.A.114.1,1.A.114.1,0.999923,61,1.A.114,1.A.114
WP_062382148,1.A.115.1,1.W.9.3,0.12321504,66,1.A.115,1.W.9
Q91DM1,1.A.116.1,1.A.116.1,0.99990356,72,1.A.116,1.A.116
AGA19094,1.A.116.1,1.A.116.1,0.9997961,73,1.A.116,1.A.116
QII89021,1.A.117.1,1.A.117.1,0.1775013,79,1.A.117,1.A.117
Q9J3N8,1.A.117.1,1.A.117.1,0.55234325,80,1.A.117,1.A.117
PRW60447,1.A.119.1,1.A.119.1,0.996777,89,1.A.119,1.A.119
RYG54403,1.A.119.1,1.A.119.1,0.99721235,90,1.A.119,1.A.119
XP_005851849,1.A.119.1,1.A.119.1,0.99918216,91,1.A.119,1.A.119
Q9Y696,1.A.12.1,1.A.12.1,0.648926,97,1.A.12,1.A.12
O95833,1.A.12.1,1.A.12.1,0.623718,98,1.A.12,1.A.12
Q8F2Y8,1.A.12.2,1.A.12.1,0.61086386,100,1.A.12,1.A.12
B7LBF5,1.A.12.3,1.A.12.3,0.47437638,102,1.A.12,1.A.12
KAF2073363,1.A.121.1,1.A.121.1,0.99985087,111,1.A.121,1.A.121
KNE65670,1.A.121.1,1.A.121.1,0.99985147,112,1.A.121,1.A.121
XP_005847969,1.A.126.1,1.A.126.1,0.99984825,121,1.A.126,1.A.126
OLP87777,1.A.126.1,1.A.126.1,0.5773182,122,1.A.126,1.A.126
CAD7625038,1.A.126.1,1.A.126.1,0.99992,123,1.A.126,1.A.126
Q3LZX6,1.A.127.1,1.A.127.1,0.999861,126,1.A.127,1.A.127
YP_009725255,1.A.128.1,1.A.128.1,0.9999969,127,1.A.128,1.A.128
P30405,1.A.129.1,1.A.129.1,0.99999964,128,1.A.129,1.A.129
XP_040533254,1.A.13.1,1.A.13.1,0.6544029,137,1.A.13,1.A.13
Q9UQC9,1.A.13.1,1.A.13.1,0.9984432,138,1.A.13,1.A.13
VIP05124,1.A.13.2,1.W.9.3,0.12930708,142,1.A.13,1.W.9
A9WIT9,1.A.13.3,1.A.13.3,0.99999833,143,1.A.13,1.A.13
B3QY78,1.A.13.4,8.A.18.2,0.986429,146,1.A.13,8.A.18
KAI2464759,1.A.131.1,1.A.131.1,0.9998311,154,1.A.131,1.A.131
KKY14299,1.A.131.1,1.A.131.1,0.9995148,155,1.A.131,1.A.131
RCL04097,1.A.132.1,1.A.132.1,0.99999845,158,1.A.132,1.A.132
P31845,1.A.134.1,1.A.134.1,0.99984574,163,1.A.134,1.A.134
Q03105,1.A.137.1,1.A.137.1,0.99998415,165,1.A.137,1.A.137
XP_001687221,1.A.138.1,1.A.138.1,0.9278563,170,1.A.138,1.A.138
KAJ9467172,1.A.138.2,1.A.138.2,0.90553635,171,1.A.138,1.A.138
XP_025967337,1.A.139.1,1.A.139.1,0.9999516,176,1.A.139,1.A.139
CAC5415462,1.A.140.1,1.A.140.1,0.9990212,181,1.A.140,1.A.140
KNC21563,1.A.140.1,1.A.140.1,0.999706,182,1.A.140,1.A.140
WP_159458826,1.A.141.1,1.A.141.1,0.85822564,191,1.A.141,1.A.141
WP_342171699,1.A.141.1,1.A.141.1,0.8557941,192,1.A.141,1.A.141
WP_248910494,1.A.141.2,1.A.141.1,0.8120169,196,1.A.141,1.A.141
NP_044070,1.A.143.1,1.A.143.1,0.9999795,199,1.A.143,1.A.143
YP_009448007,1.A.144.1,1.A.144.1,0.9999883,203,1.A.144,1.A.144
YP_784320,1.A.145.1,1.A.145.1,0.9999387,206,1.A.145,1.A.145
VVB63523,1.A.147.1,1.A.147.1,0.9998746,215,1.A.147,1.A.147
NVM01300,1.A.147.1,1.A.147.1,0.9997003,216,1.A.147,1.A.147
BBF24341,1.A.149.1,1.A.149.1,0.9997683,218,1.A.149,1.A.149
E1Z497,1.A.15.1,1.W.9.3,0.123479,223,1.A.15,1.W.9
Q99442,1.A.15.1,1.A.15.1,0.9999472,224,1.A.15,1.A.15
M1V6H9,1.A.18.1,1.A.18.1,0.9999554,226,1.A.18,1.A.18
M9YRP5,1.A.19.1,1.A.19.1,0.99989724,230,1.A.19,1.A.19
YP_009165879,1.A.19.2,1.A.19.2,0.9999964,231,1.A.19,1.A.19
XP_011598515,1.A.20.1,1.A.20.1,0.9951924,234,1.A.20,1.A.20
E5S402,1.A.20.2,1.A.20.1,0.99190897,236,1.A.20,1.A.20
XP_028455685,1.A.21.1,1.A.21.1,0.9027808,247,1.A.21,1.A.21
P41958,1.A.21.1,1.A.21.1,0.8656542,248,1.A.21,1.A.21
QSG71260,1.A.21.1,1.A.21.1,0.8725317,249,1.A.21,1.A.21
XP_032502729,1.A.21.2,1.A.21.2,0.9467225,254,1.A.21,1.A.21
R7QNM6,1.A.22.1,1.A.22.1,0.9997434,266,1.A.22,1.A.22
AUF82136,1.A.22.1,1.A.22.1,0.9994276,267,1.A.22,1.A.22
YP_003969926,1.A.22.1,1.A.22.1,0.9982315,268,1.A.22,1.A.22
A2C579,1.A.26.1,1.A.26.1,0.6846301,274,1.A.26,1.A.26
Q8EAE0,1.A.26.1,1.A.26.1,0.71618825,275,1.A.26,1.A.26
O44196,1.A.26.2,1.A.26.2,0.9959565,279,1.A.26,1.A.26
L9YYI5,1.A.26.3,1.A.26.1,0.65569377,280,1.A.26,1.A.26
Q93PJ3,1.A.29.1,1.A.29.1,0.99995685,285,1.A.29,1.A.29
Q814I5,1.A.29.1,1.A.29.1,0.9998777,286,1.A.29,1.A.29
A4JYY8,1.A.32.1,1.A.32.1,0.9259421,289,1.A.32,1.A.32
P11021,1.A.33.1,1.A.33.2,0.98821753,294,1.A.33,1.A.33
P36016,1.A.33.1,1.W.9.3,0.11776731,295,1.A.33,1.W.9
Q5YNG4,1.A.33.2,1.W.9.3,0.121864244,298,1.A.33,1.W.9
Q91892,1.A.36.1,1.A.36.1,0.9968317,303,1.A.36,1.A.36
J0DPD5,1.A.36.2,1.A.36.2,0.99998105,305,1.A.36,1.A.36
XP_027868562,1.A.37.1,1.A.37.8,0.345965,307,1.A.37,1.A.37
Q96PG2,1.A.37.2,1.A.37.2,0.23394628,308,1.A.37,1.A.37
XP_018964003,1.A.37.3,1.A.37.8,0.23801786,311,1.A.37,1.A.37
XP_031566461,1.A.37.4,1.A.37.4,0.47893226,313,1.A.37,1.A.37
E1BKV5,1.A.37.5,1.A.37.8,0.36559078,314,1.A.37,1.A.37
J9P7D8,1.A.37.6,1.A.37.6,0.31887028,315,1.A.37,1.A.37
A6NML5,1.A.37.7,1.A.37.7,0.99998546,316,1.A.37,1.A.37
C3ZEE2,1.A.37.8,1.A.37.6,0.3419868,320,1.A.37,1.A.37
A2XX57,1.A.38.1,1.A.38.2,0.6897189,323,1.A.38,1.A.38
E9AL43,1.A.38.2,1.A.38.2,0.77909577,324,1.A.38,1.A.38
Q7RQA4,1.A.38.3,1.A.38.3,0.99993336,325,1.A.38,1.A.38
I6T2J8,1.A.39.1,1.A.39.1,0.9716391,328,1.A.39,1.A.39
AJP61612,1.A.40.1,1.A.40.1,0.98568255,330,1.A.40,1.A.40
Q6Y8U3,1.A.40.2,1.A.40.2,0.9989794,334,1.A.40,1.A.40
Q69C27,1.A.41.1,1.A.41.1,0.95811903,338,1.A.41,1.A.41
PIN02799,1.A.41.2,1.A.41.2,0.99796176,343,1.A.41,1.A.41
R0EUA4,1.A.41.2,1.A.41.2,0.7406592,344,1.A.41,1.A.41
ADO34202,1.A.42.1,1.A.42.1,0.9999815,349,1.A.42,1.A.42
Q7Y5E2,1.A.44.1,1.A.44.1,0.99999726,350,1.A.44,1.A.44
Q8NFU0,1.A.46.1,1.A.46.1,0.902953,357,1.A.46,1.A.46
Q8N1M1,1.A.46.1,1.A.46.1,0.9847013,358,1.A.46,1.A.46
M2Y919,1.A.46.2,1.A.46.2,0.99880123,368,1.A.46,1.A.46
D8UGV3,1.A.46.2,1.A.46.2,0.99769694,369,1.A.46,1.A.46
GAQ79686,1.A.46.2,1.A.46.2,0.99896157,370,1.A.46,1.A.46
P54105,1.A.47.1,1.A.47.1,0.60563666,371,1.A.47,1.A.47
O13777,1.A.47.2,1.A.47.2,0.4423353,372,1.A.47,1.A.47
Q8IDZ0,1.A.47.3,1.A.47.3,0.9999492,373,1.A.47,1.A.47
Q9LVA7,1.A.47.4,1.A.47.1,0.393417,374,1.A.47,1.A.47
Q9W5A5,1.A.48.1,1.A.48.1,0.9992729,379,1.A.48,1.A.48
KRX54150,1.A.48.1,1.A.48.1,0.99942446,380,1.A.48,1.A.48
KAF1786581,1.A.48.2,1.A.48.1,0.99225265,382,1.A.48,1.A.48
YP_009113027,1.A.49.1,1.A.49.1,0.9998493,385,1.A.49,1.A.49
Q93533,1.A.55.1,1.A.55.4,0.29740542,388,1.A.55,1.A.55
F2UA94,1.A.55.2,1.A.55.3,0.764966,390,1.A.55,1.A.55
Q5DFV8,1.A.55.3,1.A.55.3,0.8314951,391,1.A.55,1.A.55
D8LWX8,1.A.55.4,1.A.55.4,0.26750758,394,1.A.55,1.A.55
D8LKG3,1.A.55.5,1.A.55.5,0.32553932,395,1.A.55,1.A.55
Q54CR4,1.A.55.6,1.A.55.6,0.99960667,397,1.A.55,1.A.55
P0DTC3,1.A.57.1,1.A.57.1,0.9994747,402,1.A.57,1.A.57
AVM87627,1.A.58.1,1.A.58.1,0.99996233,406,1.A.58,1.A.58
R9RZY4,1.A.59.1,1.A.59.1,0.99958163,409,1.A.59,1.A.59
P12870,1.A.61.1,1.A.61.1,0.9999808,411,1.A.61,1.A.61
ATP66790,1.A.65.1,1.A.65.1,0.9998047,419,1.A.65,1.A.65
H9AA36,1.A.65.1,1.A.65.1,0.9998716,420,1.A.65,1.A.65
P81861,1.A.66.1,1.A.66.1,0.9999987,421,1.A.66,1.A.66
G4TKM5,1.A.67.1,1.A.67.1,0.5567775,430,1.A.67,1.A.67
KAI8073366,1.A.67.1,1.A.67.1,0.55848956,431,1.A.67,1.A.67
S9VKR5,1.A.67.2,1.A.67.2,0.992687,434,1.A.67,1.A.67
XP_034420108,1.A.67.3,1.A.67.1,0.5241888,437,1.A.67,1.A.67
O36632,1.A.68.1,1.A.68.1,0.99993896,440,1.A.68,1.A.68
P80723,1.A.71.1,1.A.71.1,0.9995296,441,1.A.71,1.A.71
P17677,1.A.71.2,1.A.71.2,0.9984376,442,1.A.71,1.A.71
Q03709,1.A.73.1,1.A.73.1,0.9999856,445,1.A.73,1.A.73
Q9BVC6,1.A.74.1,1.A.74.3,0.64589506,447,1.A.74,1.A.74
Q8WY22,1.A.74.2,1.A.74.3,0.6572669,449,1.A.74,1.A.74
H3D9P2,1.A.74.3,1.A.74.3,0.6459797,450,1.A.74,1.A.74
P38224,1.A.81.1,1.A.81.2,0.31415743,451,1.A.81,1.A.81
Q59WR6,1.A.81.2,1.A.81.2,0.33586526,452,1.A.81,1.A.81
I3VPY1,1.A.81.3,1.A.81.2,0.34337762,453,1.A.81,1.A.81
TGO16390,1.A.81.4,1.A.81.4,0.3181744,455,1.A.81,1.A.81
Q7Z7J7,1.A.82.1,1.A.82.1,0.9994611,462,1.A.82,1.A.82
CAF0733683,1.A.82.1,1.A.82.1,0.987578,463,1.A.82,1.A.82
CRH77963,1.A.86.1,1.A.86.1,0.99953103,467,1.A.86,1.A.86
I2K324,1.A.88.1,1.A.88.1,0.96928877,475,1.A.88,1.A.88
G8YEP6,1.A.88.1,1.A.88.1,0.9999224,476,1.A.88,1.A.88
ANA96049,1.A.89.1,1.A.89.1,0.99971324,481,1.A.89,1.A.89
ADX59459,1.A.89.1,1.A.89.1,0.9992675,482,1.A.89,1.A.89
U5NGR3,1.A.93.1,1.A.93.1,0.99994564,486,1.A.93,1.A.93
E1AA99,1.A.93.2,1.A.93.2,0.99997485,487,1.A.93,1.A.93
UKG23804,1.A.94.1,1.A.94.1,0.9994537,491,1.A.94,1.A.94
L0N2B4,1.A.96.1,1.A.96.1,0.99995375,494,1.A.96,1.A.96
B2BW34,1.A.99.1,1.A.99.1,0.9998745,497,1.A.99,1.A.99
P0A927,1.B.10.1,1.B.10.1,0.5471311,498,1.B.10,1.B.10
W3VB60,1.B.10.2,1.B.10.2,0.8426882,503,1.B.10,1.B.10
D5EHS6,1.B.10.2,1.B.10.2,0.563354,504,1.B.10,1.B.10
H8JS16,1.B.10.3,1.B.10.3,0.62294894,506,1.B.10,1.B.10
E9Z1V5,1.B.13.1,1.B.13.3,0.57659197,512,1.B.13,1.B.13
Q0VSL2,1.B.13.1,1.B.13.1,0.68734,513,1.B.13,1.B.13
I4B356,1.B.13.2,1.B.13.3,0.3977998,515,1.B.13,1.B.13
J4K5X9,1.B.13.3,1.B.13.3,0.57261163,520,1.B.13,1.B.13
A1T0X2,1.B.15.1,1.B.15.1,0.99985826,525,1.B.15,1.B.15
C1ADV7,1.B.16.1,1.B.5.1,0.40222076,534,1.B.16,1.B.5
D8PFV8,1.B.16.1,1.B.5.1,0.40199557,535,1.B.16,1.B.5
F8C3X3,1.B.16.1,1.B.16.1,0.450469,536,1.B.16,1.B.16
D8PHW0,1.B.16.2,1.B.5.1,0.39981127,543,1.B.16,1.B.5
Q7UGJ0,1.B.16.2,1.B.16.2,0.48101875,544,1.B.16,1.B.16
WP_152053851,1.B.162.1,1.B.162.1,0.9991026,553,1.B.162,1.B.162
WP_160129378,1.B.162.1,1.B.162.1,0.99990606,554,1.B.162,1.B.162
M2YRU5,1.B.163.1,1.B.163.1,0.9993525,562,1.B.163,1.B.163
A0QP93,1.B.163.1,1.B.163.1,0.99995387,563,1.B.163,1.B.163
WP_231666935,1.B.165.1,1.B.165.1,0.9998517,571,1.B.165,1.B.165
I1SBC9,1.B.165.1,1.B.165.1,0.9992004,572,1.B.165,1.B.165
Q03961,1.B.18.1,1.B.18.3,0.73919433,574,1.B.18,1.B.18
P22236,1.B.18.2,1.B.18.2,0.63590777,578,1.B.18,1.B.18
P0A932,1.B.18.3,1.B.18.2,0.6394958,586,1.B.18,1.B.18
Q1CVQ0,1.B.18.3,1.B.18.3,0.83404744,587,1.B.18,1.B.18
C1F9P1,1.B.19.1,1.B.19.1,0.9996861,595,1.B.19,1.B.19
H8FL42,1.B.19.1,1.B.19.1,0.9991929,596,1.B.19,1.B.19
WP_024910978,1.B.21.1,1.B.21.2,0.48025206,600,1.B.21,1.B.21
EEW1721302,1.B.21.2,1.B.21.2,0.5085369,605,1.B.21,1.B.21
B8K3G3,1.B.21.3,1.B.21.2,0.41111276,608,1.B.21,1.B.21
Q0SBX7,1.B.24.1,1.B.24.1,0.9999255,615,1.B.24,1.B.24
Q0RYN1,1.B.24.1,1.B.24.1,0.99979836,616,1.B.24,1.B.24
K5RXM5,1.B.26.1,1.B.26.1,0.9943856,618,1.B.26,1.B.26
H2IWN4,1.B.26.2,1.B.26.2,0.9999212,620,1.B.26,1.B.26
Q8GDI6,1.B.27.1,1.B.27.1,0.9254267,631,1.B.27,1.B.27
Q9S3I7,1.B.27.1,1.B.27.1,0.9296969,632,1.B.27,1.B.27
A0PAQ8,1.B.27.1,1.B.27.1,0.9160574,633,1.B.27,1.B.27
R4Q7V2,1.B.27.2,1.B.27.1,0.8534937,636,1.B.27,1.B.27
Q0WMZ5,1.B.30.1,1.B.30.3,0.30070764,638,1.B.30,1.B.30
Q9LZH8,1.B.30.2,1.B.30.2,0.3180908,639,1.B.30,1.B.30
B8BRM2,1.B.30.3,1.B.30.2,0.28599012,640,1.B.30,1.B.30
K4D2B1,1.B.30.4,1.B.30.4,0.42330652,641,1.B.30,1.B.30
M2X828,1.B.30.5,1.B.30.5,0.30297798,642,1.B.30,1.B.30
B9D0I1,1.B.31.1,1.B.31.1,0.99982506,648,1.B.31,1.B.31
B9KFF7,1.B.31.1,1.B.31.1,0.9998047,649,1.B.31,1.B.31
SES17047,1.B.34.1,1.B.34.1,0.4703284,657,1.B.34,1.B.34
WP_123925997,1.B.34.1,1.B.34.1,0.69018203,658,1.B.34,1.B.34
AEX77393,1.B.34.2,1.B.34.1,0.6257672,661,1.B.34,1.B.34
SQI24628,1.B.34.3,1.B.34.3,0.4849194,666,1.B.34,1.B.34
SIQ09903,1.B.34.4,1.B.34.1,0.6706528,669,1.B.34,1.B.34
L0MIX9,1.B.35.1,1.B.35.2,0.33557665,675,1.B.35,1.B.35
A6TDJ4,1.B.35.1,1.B.35.2,0.33859524,676,1.B.35,1.B.35
KPL05111,1.B.35.2,1.B.35.4,0.57488513,680,1.B.35,1.B.35
M4U9K6,1.B.35.3,1.B.35.4,0.38024694,682,1.B.35,1.B.35
C9QGR6,1.B.35.4,1.B.35.4,0.33393312,685,1.B.35,1.B.35
F0RWP8,1.B.36.1,1.B.36.1,0.99997115,688,1.B.36,1.B.36
H2CJW4,1.B.37.1,1.B.37.2,0.82155067,690,1.B.37,1.B.37
D0LRV8,1.B.37.2,1.B.37.2,0.73905146,691,1.B.37,1.B.37
Q9A8E5,1.B.39.1,1.B.39.1,0.99989605,699,1.B.39,1.B.39
V1E4I3,1.B.39.1,1.B.39.1,0.99990165,700,1.B.39,1.B.39
B9M7K9,1.B.39.2,1.B.39.1,0.9993967,702,1.B.39,1.B.39
B0VUV8,1.B.39.3,1.B.39.3,0.99998474,703,1.B.39,1.B.39
Q8FQT0,1.B.41.1,1.B.41.1,0.9999546,708,1.B.41,1.B.41
C0XRQ2,1.B.41.1,1.B.41.1,0.9997576,709,1.B.41,1.B.41
Q6GZ99,1.B.49.1,1.B.49.1,0.9998671,717,1.B.49,1.B.49
Q8G8H4,1.B.49.1,1.B.49.1,0.99977463,718,1.B.49,1.B.49
Q2S4D9,1.B.5.1,1.B.16.1,0.36169636,731,1.B.5,1.B.16
G6XK71,1.B.5.1,1.B.16.2,0.4292319,732,1.B.5,1.B.16
F5SXN1,1.B.5.1,1.B.5.1,0.39659593,733,1.B.5,1.B.5
D3SLU1,1.B.5.2,1.B.5.1,0.38962004,735,1.B.5,1.B.5
D4U1N3,1.B.50.1,1.B.50.1,0.6678338,737,1.B.50,1.B.50
S0EUI6,1.B.50.2,1.B.50.1,0.6515632,740,1.B.50,1.B.50
Q44881,1.B.51.1,1.B.51.1,0.9999949,741,1.B.51,1.B.51
B8F2P1,1.B.52.1,1.B.52.1,0.99999166,743,1.B.52,1.B.52
A7ZLV9,1.B.53.1,1.B.53.1,0.99871707,747,1.B.53,1.B.53
D0LXF9,1.B.60.1,1.B.60.1,0.999694,756,1.B.60,1.B.60
Q6MQH3,1.B.60.1,1.B.60.1,0.9959495,757,1.B.60,1.B.60
Q1DFS2,1.B.61.1,1.B.61.1,0.99998295,763,1.B.61,1.B.61
Q72DY0,1.B.61.1,1.B.61.1,0.99952555,764,1.B.61,1.B.61
Q07KZ2,1.B.62.1,1.B.62.1,0.9996493,772,1.B.62,1.B.62
A6DTR9,1.B.62.1,1.B.62.1,0.9995229,773,1.B.62,1.B.62
