Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,is_negative_control
AFH41240,1.A.102.1,2.A.131.1,0.9905811938877269,3,False
WP_189658242,1.A.104.1,1.A.22.1,0.9999999999978681,7,False
XP_022087427,1.A.105.1,9.B.440.1,0.9999999579981549,10,False
C4LY15,1.A.106.1,1.C.136.1,0.4999998701080597,19,False
Q54TU8,1.A.106.1,1.C.136.1,0.4999998701080597,20,False
Q8ID84,1.A.106.1,1.C.136.1,0.4999998701080597,21,False
D3RXV6,1.A.106.2,1.C.136.1,0.4999998701080597,26,False
Q8WWM9,1.A.107.1,1.C.47.3,0.5521435413000588,31,False
Q92915,1.A.108.1,9.A.43.1,0.9857398532155951,34,False
P01584,1.A.109.1,1.C.63.1,0.6808752039576854,36,False
A9JTM7,1.A.110.1,9.B.110.1,1.0,45,False
R4GK65,1.A.110.1,9.B.103.1,0.645658291928583,46,False
Q4U8M1,1.A.111.1,8.A.189.1,0.9999884327964718,54,False
Q8IDG4,1.A.111.1,8.A.189.1,0.9999884327964718,55,False
XP_007903208,1.A.114.1,8.A.93.2,0.9999999778427233,60,False
H3CYV8,1.A.114.1,8.A.93.2,0.9999999989680217,61,False
WP_062382148,1.A.115.1,2.A.15.1,1.0,66,False
Q91DM1,1.A.116.1,1.A.33.2,0.530229170963095,72,False
AGA19094,1.A.116.1,1.A.33.2,0.530229170963095,73,False
QII89021,1.A.117.1,1.C.136.1,0.49999995073518816,79,False
Q9J3N8,1.A.117.1,1.C.136.1,0.49999995073518816,80,False
PRW60447,1.A.119.1,1.C.48.1,0.9998548933872143,89,False
RYG54403,1.A.119.1,8.A.18.1,0.5299103243803549,90,False
XP_005851849,1.A.119.1,9.B.418.1,1.0,91,False
Q9Y696,1.A.12.1,8.A.187.1,0.5064579351616593,97,False
O95833,1.A.12.1,8.A.187.1,0.5064579351616593,98,False
Q8F2Y8,1.A.12.2,8.A.187.1,0.5064579351616593,100,False
B7LBF5,1.A.12.3,9.B.19.1,1.0,102,False
KAF2073363,1.A.121.1,8.A.18.3,0.502911422164998,111,False
KNE65670,1.A.121.1,8.A.18.3,0.502911422164998,112,False
XP_005847969,1.A.126.1,9.A.57.1,0.6644156368270911,121,False
OLP87777,1.A.126.1,9.A.79.1,0.9402282025023165,122,False
CAD7625038,1.A.126.1,9.A.35.1,1.0,123,False
Q3LZX6,1.A.127.1,8.A.18.3,0.4070362775860308,126,False
YP_009725255,1.A.128.1,1.G.20.1,0.5300504808982219,127,False
P30405,1.A.129.1,2.A.75.1,0.3905153636020851,128,False
XP_040533254,1.A.13.1,9.B.126.2,1.0,137,False
Q9UQC9,1.A.13.1,8.A.154.1,0.9997747030876319,138,False
VIP05124,1.A.13.2,8.A.77.1,1.0,142,False
A9WIT9,1.A.13.3,9.B.50.1,1.0,143,False
B3QY78,1.A.13.4,8.A.91.1,1.0,146,False
KAI2464759,1.A.131.1,2.A.26.1,1.0,154,False
KKY14299,1.A.131.1,1.A.131.1,1.0,155,False
RCL04097,1.A.132.1,1.C.40.1,0.5463485565948651,158,False
P31845,1.A.134.1,1.C.63.1,0.680793102534904,163,False
Q03105,1.A.137.1,1.B.84.1,0.6094492259691834,165,False
XP_001687221,1.A.138.1,9.B.350.1,0.9999999999857152,170,False
KAJ9467172,1.A.138.2,1.C.136.1,0.49998627442670807,171,False
XP_025967337,1.A.139.1,8.A.51.1,0.5996850016662354,176,False
CAC5415462,1.A.140.1,8.A.177.1,1.0,181,False
KNC21563,1.A.140.1,8.A.18.3,0.4033492664161378,182,False
WP_159458826,1.A.141.1,2.A.97.1,0.5098163919972392,191,False
WP_342171699,1.A.141.1,2.A.97.1,0.4966770579202418,192,False
WP_248910494,1.A.141.2,9.A.43.1,0.9890078678720363,196,False
NP_044070,1.A.143.1,8.A.180.1,0.5402027653536415,199,False
YP_009448007,1.A.144.1,8.A.180.1,0.733788887969838,203,False
YP_784320,1.A.145.1,8.A.180.1,0.6181745338486478,206,False
VVB63523,1.A.147.1,9.B.453.1,0.999999999823858,215,False
NVM01300,1.A.147.1,8.A.115.2,1.0,216,False
BBF24341,1.A.149.1,2.A.131.1,1.0,218,False
E1Z497,1.A.15.1,1.C.48.1,0.9999999945335432,223,False
Q99442,1.A.15.1,8.A.117.1,0.9999768916331703,224,False
M1V6H9,1.A.18.1,1.C.113.1,1.0,226,False
M9YRP5,1.A.19.1,8.A.77.1,0.8312089715225346,230,False
YP_009165879,1.A.19.2,9.A.35.1,1.0,231,False
XP_011598515,1.A.20.1,8.A.18.3,0.5022817511114114,234,False
E5S402,1.A.20.2,9.A.57.1,0.9931601506624721,236,False
XP_028455685,1.A.21.1,8.A.187.1,0.6817517237773405,247,False
P41958,1.A.21.1,8.A.1.3,1.0,248,False
QSG71260,1.A.21.1,8.A.68.1,0.5959242252682837,249,False
XP_032502729,1.A.21.2,9.B.18.1,0.9999996210175706,254,False
R7QNM6,1.A.22.1,9.A.28.1,0.44805989180024003,266,False
AUF82136,1.A.22.1,1.C.63.1,0.6808754901537629,267,False
YP_003969926,1.A.22.1,1.C.63.1,0.6808754901537629,268,False
A2C579,1.A.26.1,1.A.22.1,0.9999999926151957,274,False
Q8EAE0,1.A.26.1,1.A.22.1,0.9999999926151957,275,False
O44196,1.A.26.2,9.B.50.1,1.0,279,False
L9YYI5,1.A.26.3,1.A.22.1,0.9999999926151957,280,False
Q93PJ3,1.A.29.1,2.A.75.1,0.5305925948722621,285,False
Q814I5,1.A.29.1,2.A.75.1,0.5305925948722621,286,False
A4JYY8,1.A.32.1,1.B.27.1,1.0,289,False
P11021,1.A.33.1,8.A.187.1,0.9992912560017041,294,False
P36016,1.A.33.1,8.A.104.1,1.0,295,False
Q5YNG4,1.A.33.2,8.A.213.1,1.0,298,False
Q91892,1.A.36.1,2.A.71.2,1.0,303,False
J0DPD5,1.A.36.2,8.A.117.1,1.0,305,False
XP_027868562,1.A.37.1,2.A.62.1,1.0,307,False
Q96PG2,1.A.37.2,9.B.146.1,1.0,308,False
XP_018964003,1.A.37.3,9.A.79.1,1.0,311,False
XP_031566461,1.A.37.4,1.A.147.1,0.999999999990566,313,False
E1BKV5,1.A.37.5,2.A.97.1,0.9300863016280092,314,False
J9P7D8,1.A.37.6,9.A.57.1,0.9996643797709015,315,False
A6NML5,1.A.37.7,2.A.16.3,0.6602107894087761,316,False
C3ZEE2,1.A.37.8,8.A.125.1,1.0,320,False
A2XX57,1.A.38.1,8.A.129.1,0.9999999999994165,323,False
E9AL43,1.A.38.2,9.B.57.1,1.0,324,False
Q7RQA4,1.A.38.3,9.A.43.1,0.8478080788710828,325,False
I6T2J8,1.A.39.1,2.A.131.1,1.0,328,False
AJP61612,1.A.40.1,8.A.187.1,0.655117519641825,330,False
Q6Y8U3,1.A.40.2,8.A.187.1,0.655117519641825,334,False
Q69C27,1.A.41.1,1.A.33.2,0.530229170963095,338,False
PIN02799,1.A.41.2,9.B.19.1,1.0,343,False
R0EUA4,1.A.41.2,9.B.19.1,1.0,344,False
ADO34202,1.A.42.1,8.A.77.1,0.8312089715225346,349,False
Q7Y5E2,1.A.44.1,8.A.68.1,0.9785477324076861,350,False
Q8NFU0,1.A.46.1,8.A.227.1,1.0,357,False
Q8N1M1,1.A.46.1,9.B.404.1,1.0,358,False
M2Y919,1.A.46.2,8.A.227.1,1.0,368,False
D8UGV3,1.A.46.2,8.A.205.1,1.0,369,False
GAQ79686,1.A.46.2,8.A.227.1,1.0,370,False
P54105,1.A.47.1,9.A.57.1,0.9077855208280065,371,False
O13777,1.A.47.2,2.A.97.1,0.9998369868986288,372,False
Q8IDZ0,1.A.47.3,1.C.63.1,0.680793102534904,373,False
Q9LVA7,1.A.47.4,9.A.57.1,1.0,374,False
Q9W5A5,1.A.48.1,8.A.129.1,1.0,379,False
KRX54150,1.A.48.1,8.A.117.1,1.0,380,False
KAF1786581,1.A.48.2,8.A.68.1,0.9737912870457408,382,False
YP_009113027,1.A.49.1,8.A.18.3,0.5033434859255715,385,False
Q93533,1.A.55.1,1.A.22.1,0.5588757651961389,388,False
F2UA94,1.A.55.2,9.B.19.1,0.9999989426563081,390,False
Q5DFV8,1.A.55.3,9.B.19.1,1.0,391,False
D8LWX8,1.A.55.4,1.A.22.1,0.5588757651961389,394,False
D8LKG3,1.A.55.5,1.A.22.1,0.5588757651961389,395,False
Q54CR4,1.A.55.6,1.A.22.1,0.5588757651961389,397,False
P0DTC3,1.A.57.1,8.A.18.3,0.41228776175776327,402,False
AVM87627,1.A.58.1,8.A.180.1,0.6181745338486478,406,False
R9RZY4,1.A.59.1,2.A.62.1,0.42287346493866457,409,False
P12870,1.A.61.1,2.A.131.1,0.9774201089415506,411,False
ATP66790,1.A.65.1,1.C.63.1,0.6809261791954324,419,False
H9AA36,1.A.65.1,1.C.63.1,0.6809261791954324,420,False
P81861,1.A.66.1,8.A.187.1,0.5257264466064882,421,False
G4TKM5,1.A.67.1,8.A.18.3,0.46650204411141455,430,False
KAI8073366,1.A.67.1,8.A.18.3,0.46650204411141455,431,False
S9VKR5,1.A.67.2,8.A.18.3,0.46650204411141455,434,False
XP_034420108,1.A.67.3,8.A.18.3,0.46650204411141455,437,False
O36632,1.A.68.1,8.A.180.1,0.6181745338486478,440,False
P80723,1.A.71.1,8.A.144.1,0.7842741687284043,441,False
P17677,1.A.71.2,2.A.103.1,1.0,442,False
Q03709,1.A.73.1,2.A.62.1,0.3812863387918295,445,False
Q9BVC6,1.A.74.1,2.A.97.1,0.493657197333447,447,False
Q8WY22,1.A.74.2,8.A.18.3,0.4033492664161378,449,False
H3D9P2,1.A.74.3,8.A.159.1,1.0,450,False
P38224,1.A.81.1,1.A.19.2,0.9980180510393246,451,False
Q59WR6,1.A.81.2,8.A.205.1,0.9999999999551483,452,False
I3VPY1,1.A.81.3,8.A.19.1,1.0,453,False
TGO16390,1.A.81.4,8.A.19.1,1.0,455,False
Q7Z7J7,1.A.82.1,8.A.18.3,0.46650204411141455,462,False
CAF0733683,1.A.82.1,1.W.5.1,1.0,463,False
CRH77963,1.A.86.1,8.A.77.1,0.8312089715225346,467,False
I2K324,1.A.88.1,1.C.132.1,1.0,475,False
